1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Country,WHO_REGION
21158.78784,12397.15664,32480.50991,13286.63082,46551.05696,9360.650818,8307.659099,3237.426731,2152.406769,2420.11975,3470.150451,7047.072119,5426.283903,8043.827724,655.959617,531.7918803,571.3200834,1260.967287,234.0909378,236.8318268,288.7557962,359.7464012,438.2355536,475.3197722,408.0411184,458.533328,524.8470957,608.1336408,674.3216154,462.212164,554.3398147,568.8497929,828.5967796,990.4648725,Kuwait,EMR
NA,NA,10141.85143,26553.33716,64900.55987,92072.02217,157210.3985,170189.3861,199322.6286,182007.2312,143568.0498,99539.71806,96607.68476,88394.78122,158521.5282,114151.5768,89514.45152,210599.4721,188049.2202,113795.3378,73501.97654,47069.70079,77801.62083,97160.04417,73579.5489,56451.28793,84862.35286,706.5107776,2142.301107,4282.257719,6619.668319,339,643.3315081,2004.691236,Laos,WPR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5475.479906,2332.01949,1481.219489,13184.34524,21859.56643,4357.679201,2148.517191,38.24866152,2700.78232,85303.53046,20648.34273,54533.38375,88367.87789,32183.97307,7162.129689,3632.088235,2271.023991,1756.136584,9488.080427,12233.82095,1943.268538,Lebanon,EMR
254030.2631,196567.2836,131646.1485,172315.2932,73524.89747,31821.67209,58779.56988,69027.36859,52529.49748,71797.14899,77449.89256,81965.47033,90960.22171,27116.41936,14619.38528,52119.8222,79644.41032,45385.23773,45170.14241,89143.87393,40957.94283,15287.48729,11992.98032,9977.558199,119.9055474,2664.260603,3999.191863,804.8169008,2169.425678,76900.00138,20930.72068,3179.977364,3133.027533,5272.679842,Liberia,AFR
7850,4640,4980,12630,20965,4255,2005,1580,1035,4655,8475,18455,3665,5635,NA,NA,130,250,NA,NA,3165,19450,NA,13855,1460,5,295,40,1645,NA,NA,1600,0,1860,Libya,EMR
670,10195,355,65,45,160,20,20,50,150,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saint Lucia,AMR
31160,66365,40855,66075,46990,31175,17540,13150,3900,20020,9480,3505,2790,2830,2040,790,975,885,12085,82635,1545,695,325,175,15,0,220,165,105,395,300,255,10535,8430,Sri Lanka,SEAR
26165.67631,24756.09943,19454.04477,20367.6025,25285.34133,16343.43392,10174.15543,7509.577613,5959.924773,7358.069591,8113.566973,7039.783034,3625.734531,3153.60513,2489.897833,3138.927979,1879.74765,2663.22323,3487.898549,1741.480855,217,331.0591267,689.2000535,357.1828529,649.7446544,673.5045875,707.0681409,281.7984789,503.3845213,3486.217598,2546.20881,2130.68602,2283.09108,939.0346637,Lesotho,AFR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,1000,1245,1430,940,175,150,90,115,95,35,515,5,5,5,5,0,5,0,10,35,0,175,55,Lithuania,EUR
1070,1215,105,175,310,135,765,90,60,80,5,240,20,5,5,125,5,NA,NA,0,NA,NA,5,0,NA,40,0,5,0,0,30,10,0,0,Luxembourg,EUR
NA,NA,NA,NA,NA,NA,NA,NA,NA,105,30,1240,270,50,10,15,20,15,0,0,5,NA,NA,0,10,35,0,15,0,0,5,15,0,180,Latvia,EUR
1373617.707,623156.2559,974016.8124,212261.0535,110583.2815,182388.5943,312053.4762,83618.67026,46411.36771,38023.23126,38944.30477,72242.19483,100401.5657,59717.84395,42355.10196,28460.54357,34201.13978,91966.38249,126290.289,92938.33201,47702.98256,70178.01451,131428.267,78419.69663,72050.14185,25801.27613,26514.37375,19639.0574,7569.630365,8128.243626,11330.65938,17844.42376,13305.6015,345.4470839,Morocco,EMR
60,0,0,0,0,0,0,0,0,0,NA,800,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,Monaco,EUR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13696.19081,8768.57255,19465.50299,16223.82859,26765.77955,10731.34945,8432.675612,15154.23562,7194.745239,15752.17615,10728.23791,22406.29196,808.0264547,447.9683193,335.2768961,556.7926034,404.9331903,257.0324011,189.1789119,145.4402895,121.4345045,187.118808,348.3642058,246.4913755,Moldova,EUR
1358297.514,614366.8966,761329.7597,480539.9062,504203.2505,188064.546,110197.5433,131854.7403,212922.8138,127100.4111,72542.86817,46216.10913,59041.02033,104113.4634,100072.1756,76042.83466,111183.1458,124760.7678,252455.6088,256095.8152,112151.1003,97643.8707,507069.8915,265077.4742,1094.135406,9628.622355,14250.70503,6364.34436,16565.31654,21092.53362,8363.216475,14484.95176,18978.17067,7539.693829,Madagascar,AFR
NA,685.0581544,824.6816726,2029,7059.792986,731.9574112,915.9242663,719.196618,692.7605099,636.5416299,629.8560084,625.3689207,2576.904889,22394.3036,13782.14841,157.9284988,20.06393884,266.9937314,2184.551572,1208.224303,926,29447.73892,2847.881721,1726.755633,4980.278043,1216.900536,1175.333109,468.7801275,606.3728547,520.1067416,502.7347715,381.4144729,376.317841,382.0802458,Maldives,SEAR
55680,31820,16840,25790,119130,49120,13880,19575,101905,343910,25385,2665,860,640,1220,10,0,0,0,150,15,0,220,320,30,115,0,0,0,0,15,0,0,0,Mexico,AMR
2.327859275,7.543241286,16.33021264,27.83398698,41.5608203,57.0315086,69.08212274,82.99260339,94.29362024,103.0179234,106.8423471,108.2059032,124.0040963,133.8797903,144.5349245,151.759774,164.3584765,160.8502756,157.7211073,157.8324027,166.7150813,165.7694155,1127,160.8793458,159.015579,156.3019723,152.6484174,149.4672604,148.0317789,143.667061,139.5859822,140.8556059,147.6331836,148.3676203,Marshall Islands,WPR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14067.45896,40607.34167,24632.04672,21430.44443,119404.7863,39274.64767,20608.03379,9473.743311,6100.519178,4498.928,3446.854559,2889.463994,2289.112322,1832.02794,1507.5289,1247.149696,1734.606418,1464.98447,8179.885339,81094.31104,12440.0932,5589.685523,8614.925852,Macedonia,EUR
382174.8754,745084.0665,373080.381,207500.6955,301414.7459,205922.1873,192448.4177,194316.0979,160465.6696,87244.9906,693303.4176,335585.4483,456539.5496,173164.2237,148744.0183,502923.9923,179513.5691,448879.9491,150890.6363,98086.62576,185693.5824,2114.513548,18486.08769,27312.85917,4807.331816,17578.26452,24141.34995,9608.54264,115870.1722,98895.79174,59102.33112,16567.6222,22715.64127,28694.36053,Mali,AFR
605,7650,3100,290,875,9220,230,85,85,30,40,215,15,40,135,80,25,15,5,10,10,35,20,20,30,5,10,5,5,0,15,0,0,0,Malta,EUR
1673588.062,1556851.806,1167351.264,1027588.653,1015317.374,808571.9369,1144203.704,891860.9847,800687.0105,1834224.535,923466.947,394130.3026,554816.2956,389095.9947,256989.3797,347401.1793,227253.8188,302078.3543,184881.872,182935.2255,542344.7908,203571.7953,173810.3951,287861.0976,108471.6689,161324.5938,225666.3392,69676.67338,70466.36296,46893.15096,765429.1804,102053.5677,100320.3642,35539.58066,Burma,SEAR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,25,25,0,0,0,Montenegro,EUR
17337.31106,18165.38726,60444.36614,60164.82754,32196.76627,21348.11312,16489.95284,85728.82801,66316.27572,20887.46954,19773.30637,27787.79726,11724.4555,8981.131871,11600.32627,7811.233854,3287.398683,2682.93722,2280.713173,13066.58639,25922.67335,30254.18423,11409.68079,6270.145349,4102.627008,3180.370138,2513.577342,1643.973417,1500.390524,1383.243075,1225.252097,1065.299656,14.29252962,26.4609789,Mongolia,WPR
453418.6255,311838.8588,306794.2559,327223.3282,435821.379,421826.9172,334828.2902,317755.8208,637596.4259,475491.1819,164825.7491,102829.5509,152324.2714,252830.7885,129071.2166,242240.1151,407922.3535,410873.6461,146447.9961,193607.673,189203.0027,190138.9794,242135.4769,246604.9742,330254.3595,4585.619773,16962.71932,20009.8694,6273.046515,60166.93754,34657.64272,8273.723638,12485.86716,4438.090999,Mozambique,AFR
83699.07073,51803.82739,135414.7952,85212.91987,120809.796,44837.5705,23369.64612,10315.69302,39228.30316,17725.89884,34785.24834,38250.63654,43728.01163,24568.80118,9055.325311,4329.318738,5481.880215,10430.98201,41454.53121,19120.77838,14069.73939,9469.61768,26978.1573,37945.96342,201.5898954,1713.206985,2729.524173,3444.916411,5361.717173,10494.10134,7183.198414,2723.135593,4022.57732,4072.286796,Mauritania,AFR
277.2527135,603.2967848,903.8600823,1234.413731,1503.344319,1755.533899,2041.572322,2297.283699,2477.028891,2697.841212,2765.329904,2872.119158,2969.410647,3047.191202,3072.466728,3429.96734,3455.702307,3503.556535,3607.503051,3657.608208,3634.544449,3678.715717,3492.373775,3302.158564,3146.57793,2996.097465,2862.74825,2732.843011,2613.267776,2498.858553,2392.416357,2466.57224,2350.07927,2244.779737,Mauritius,AFR
84610,160595.4481,279883.9641,237141.3272,282043.4592,263478.0888,252176.5332,210925.8041,207051.9385,174853.4203,114241.5069,106736.597,85550.58902,76092.65937,68270.46257,66477.473,68042.20178,63195.41635,1964.894684,12034.09976,23491.86736,39557.4195,49195.44241,55937.14048,59846.33072,12964.60114,25510.92514,35270.51769,8439.480472,118712,58676.46867,32738.55575,43333.69334,13136.13339,Malawi,AFR
28450,46340,46565,40735,25815,23495,27145,11520,5135,2815,1375,1815,2710,1730,3270,2300,3135,2415,12880,30935,10990,2040,3160,28645,7035,2820,1970,1670,765,365,7845,9340,975,1105,Malaysia,WPR
NA,NA,NA,NA,NA,NA,NA,29546.55483,35399.47345,40050.29417,32696.41702,57455.82516,21520.53105,10037.80258,13728.8662,36114.83659,43195.12877,337.7467939,332.614861,1924.387029,1496.561205,6305.407332,5467.609736,1392.652737,2156.487253,2813.334289,3132.848986,3189.365012,11927.38825,8445.331898,6663.695409,4669.807502,97.66362825,243.6311767,Namibia,AFR
308753.3501,298268.9182,228835.7906,318903.6561,508994.523,159525.602,119151.2257,131567.5147,173828.8471,159895.1187,813490.9365,258346.0539,274702.3186,364571.912,522472.897,520116.5998,261463.2685,125615.1274,269810.8904,181342.4938,474528.8556,258602.7702,406115.5418,471882.6024,9187.152968,19282.61637,26569.86142,32570.53564,6873.650121,17467.8384,8648.46425,14532.17407,1224,10972.08684,Niger,AFR
3248694.485,3407234.102,3330373.019,4543071.903,3966255.421,2818544.144,1922544.172,1853527.563,4446960.994,2816751.386,1210036.804,2098298.19,1433487.047,2604588.028,1634956.265,2161320.842,2605009.551,3504632.388,5473489.76,5225013.621,4092316.807,1461684.969,3486961.448,1249613.513,2708273.959,327419.7189,357959.5606,1218692.396,168425.3155,1028907.614,2286577.233,207730.9005,1183686.766,174944.4726,Nigeria,AFR
1120,1130,560,765,4780,12750,3960,1570,0,0,0,11660,1695,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nicaragua,AMR
4.20443921,5.17930622,6.53183578,8.257071995,21,10.66553025,10.38834569,10.07176031,9.650095645,9.210755393,121,8.635601648,8.182499041,7.780970108,9.629758076,9.126724913,8.701407449,0.030091516,0.034115,0.038299081,0.042672964,0.049632525,0.068017668,0.07381901,0.089314045,0.096255629,0.104316492,0.111816109,0.119590052,0.127482448,0.135460621,0.039876141,0.042974448,0.045027821,Niue,WPR
385,475,2400,410,120,450,1135,7595,620,80,295,2360,2340,1510,920,285,105,45,11840,5095,NA,15,20,55,20,5,50,545,75,75,255,50,13265,700,Netherlands,EUR
22930,54870,30905,8875,6560,6095,2815,665,65,475,85,365,35,30,90,115,55,NA,NA,0,20,25,40,35,0,0,NA,20,10,15,195,20,40,15,Norway,EUR
2306.831157,18873.62783,21387.93069,35596.61817,23739.24418,11525.2579,8705.701179,7129.816666,6254.199138,5949.120067,5071.629058,5016.775582,4384.810611,19562.56149,99606.87992,130021.2626,237052.9745,127182.8651,127642.3915,171027.727,195651.8228,132977.302,249306.0529,220929.7899,86755.16308,46210.50196,31803.60425,36955.69761,8110.795546,6655.088504,32709.45038,80833.83162,1861,2625.552672,Nepal,SEAR
11.33609222,21.31214405,34.76686283,49.74648337,65.47456081,81.14507389,98.5899476,115.4856716,131.1087843,300,189.0194398,198.4136922,210.244658,221.4528492,231.7423943,242.4827379,218.1734254,0.718481909,2.880761184,9.817419096,9.740741503,15.975226,21.79301527,23.21748356,24.19561608,23.29325146,22.42732888,21.60761442,20.91631374,20.17136808,19.40556057,11,4.380284882,4.353132874,Nauru,WPR
NA,NA,NA,NA,NA,NA,NA,NA,0,NA,46195,NA,345,165,NA,NA,10205,820,530,325,325,105,330,165,100,100,125,NA,990,215,2985,340,40,1400,New Zealand,WPR
203395,83225,45755,48260,20805,10005,19020,30260,21275,6310,1100,9170,15540,905,340,230,60,25,45,75,75,25,5,90,125,65,120,90,95,15,25,65,0,0,Oman,EMR
2320156.192,5511464.583,5525261.894,4502905.275,2096009.488,3164705.577,3387507.6,4152692.181,1157501.93,1596013.968,572100.8672,796292.1805,639562.426,509838.2963,544560.791,438416.5139,542718.2309,655384.4954,796441.8117,643083.2599,993817.0547,1039478.268,1236206.817,1138738.601,847105.4383,2089080.623,950884.753,294464.3145,169524.841,1319578.499,1122230.979,667944.4948,961455.7321,156968.3218,Pakistan,EMR
21660,20070,2975,1790,21475,20995,9425,1890,1505,9455,12150,4225,450,15,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,Panama,AMR
50355,63540,38095,65195,46965,30495,31200,28925,5725,3685,5070,113025,8650,3350,1765,525,475,50,60,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,Peru,AMR
553624.0781,761616.3119,920838.8665,1617973.274,1337361.747,1253645.153,1746427.12,1490798.165,1448585.992,942817.066,652171.2805,815826.6971,324632.1653,170114.8751,139121.5525,200814.372,208697.8091,123636.4457,3167.664203,70964.6414,144979.4817,163355.9109,217564.4518,132890.7782,40167.25886,38176.77853,40276.68429,22619.41726,31427.45747,102059.1076,137664.9178,55816.01461,65369.66032,189441.1437,Philippines,WPR
123.8746731,162.3004037,180.4034036,182.8237863,183.4823352,67.95356574,48.17306154,39.98268149,45.88012719,39.9502755,37.54236895,40.53560668,2087.17891,108.9331028,62.82336785,49.06127411,62.00935236,90.18638233,51.17275544,44.17636245,78.03109131,46.36280881,60.93885772,39.81140051,31.72379578,27.0840891,27.38753853,26.7520066,58.31498097,125.1371468,66.84321999,100.1027038,145.6944019,161.3970436,Palau,WPR
210550.1105,157043.4578,123128.5969,121200.941,72000.08786,76774.22201,126539.5684,81047.80172,122094.1693,56273.62593,34361.46583,91282.14352,100705.2903,83892.7665,49223.57306,34579.37859,17446.91845,14495.31102,91066.22448,87960.49081,51586.40406,72352.78623,48687.48111,22572.28879,14972.71933,1944.752084,3758.731204,4508.184441,4874.205682,2514.432732,3657.263498,7466.534175,3029.126146,40413.57885,Papua New Guinea,WPR
176415,38100,56355,272015,178400,34030,6430,5025,36125,282355,12095,18475,7050,4320,3760,3195,1690,11275,495,385,665,170,240,55,65,600,200,NA,575,65,NA,355,420,0,Poland,EUR
390.838986,1150.999878,2314.412739,3865.615103,5624.936536,7508.597491,9923.1041,11789.91974,12234.18552,12715.1664,13191.41421,13624.52959,14057.03785,15137.80693,16910.53482,19510.2266,22994.07379,25889.37431,28119.16928,12844.76862,13525.91704,13989.5419,14544.91528,15094.02042,15607.38812,16118.8645,16531.59057,57.96264538,61.23668323,63.9911279,66.87876262,69.33354469,72.17524324,75.05799165,"Korea, North",SEAR
NA,NA,NA,NA,NA,NA,4065,11425,58955,2035,1375,1040,4405,16150,960,560,645,480,250,225,NA,40,40,25,35,0,0,5,15,25,10,115,5,0,Portugal,EUR
2140,2655,6295,4895,3330,3050,8710,3775,1930,6980,2630,4320,10330,610,365,65,715,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paraguay,AMR
12785.91979,4701.092728,7065.582827,7603.696604,12580.42236,7310.393696,3829.299274,3386.473837,10010.55927,3077.984041,4821.574492,1353.132225,1049.529544,694.3428809,449.0698592,416.4802577,4887.530311,1444.146019,1569.255229,687.5168683,107.9925885,242.3527576,260.0578633,287.6742121,546.1477923,1120.354223,3018.047407,1364.984159,1083.138164,2281.74202,1322.873815,1396.960032,1003.306976,763.9877745,Qatar,EMR
298896.3837,786326.896,72518.27725,48256.13365,67682.59786,463853.4877,152454.5772,57972.96706,59111.23255,66191.75383,42982.40273,75585.67769,376816.1104,95246.77675,50236.52483,32266.57585,319763.2787,127089.8531,1888.37886,3574.152949,5112.209704,6506.243941,7697.852191,9216.737587,51767.61937,49186.62856,27017.06841,18570.12516,15302.001,14637.97593,46134.34304,142934.8677,95723.12557,63194.54275,Romania,EUR
NA,NA,NA,NA,NA,NA,NA,NA,NA,91850,102245,92850,372315,143360,33150,35600,14370,31075,37140,24000,10360,2900,16455,12220,2270,5735,865,135,505,645,3145,10615,11695,23555,Russia,EUR
587793.1524,225214.8345,126460.6726,109411.8871,106375.549,290068.9363,86101.09887,39421.80689,36915.11552,54688.1257,39545.01183,110563.332,65371.88572,52334.01649,203109.8764,44112.93872,21647.97978,47733.12203,34037.36152,24775.75435,19976.06634,25795.63096,17002.29896,881.7896942,4441.380607,7403.618287,2489.300982,5301.572485,6645.463028,3176.008644,5543.998772,4014.919062,4173.006856,50.69153421,Rwanda,AFR
339266.8256,314135.1382,433109.2203,287809.3908,178782.9884,215178.6342,276890.0214,105284.3766,52773.20253,56733.41259,59287.83988,107863.9717,43067.30332,20685.3005,24051.52773,23801.34294,35843.00374,50466.82253,19814.67131,22236.19521,8436.505539,6403.366069,9951.154743,15757.40957,4698.845364,7002.530004,39359.45663,1633.516835,2017.434856,2728.746085,3392.627844,294,1164,416.8681698,Saudi Arabia,EMR
1586058.668,1366501.6,418697.0027,331910.1358,1479143.842,576201.9754,282924.568,842174.9365,1835460.183,1590719.476,608377.2436,2144283.699,296391.5992,190803.8737,160607.9636,285419.7012,145054.4627,137129.2574,363050.9503,346868.1453,481053.9106,509195.7946,493680.6836,224573.4113,125625.5705,66896.60642,54307.9622,48003.69911,42650.23394,82770.33644,136210.5776,228388.8623,316018.7472,2661.683173,Sudan,EMR
540390.9299,450798.2723,361767.1154,278468.2397,269579.8638,100552.3292,57450.96931,36498.78866,152706.4538,82372.56808,155475.5195,209641.9003,199348.2346,94901.72805,105624.4121,110470.7082,94502.782,93920.69053,64287.94643,85558.8591,368332.0213,247918.6861,65099.70643,659.2293774,5787.901515,9095.797112,3063.154962,8230.895771,18961.38343,17892.97787,12330.44936,12916.99801,12413.55241,166.4798334,Senegal,AFR
3855,9825,3385,12085,680,1090,615,960,730,715,1080,3030,0,795,925,NA,7065,570,325,705,2040,1055,165,480,165,115,75,90,80,250,740,210,0,0,Singapore,WPR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56634.48874,2160.511555,887.1730053,833.7661026,124.9445181,12.99799044,258.6085543,422.2115655,680.640098,795.294204,832.9222464,887.2723523,733.9302708,379.2966051,798.3644802,1046.778477,556.9071549,747.6560559,0,0,0,Solomon Islands,WPR
268407.226,287422.7545,303961.2568,279021.6766,229998.6951,48281.01558,71894.97538,37554.46983,50409.74636,63060.41851,39665.62148,66059.86569,156444.608,43323.74297,38809.95079,81977.36288,45015.13426,89366.45039,81974.01614,115699.6463,57177.90333,45195.1549,43173.1335,790.8831217,4880.462436,8556.094068,3337.853993,7558.772384,8822.692816,33219.27617,133739.0864,77579.42095,4738.598517,138988.0911,Sierra Leone,AFR
62770,18320,12035,23875,7065,1390,2025,3935,0,0,0,2545,190,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,El Salvador,AMR
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,35,30,NA,NA,NA,110,NA,0,5,NA,NA,15,0,0,0,0,NA,0,0,0,5,0,0,San Marino,EUR
NA,NA,NA,21680.88036,21034.96648,21310.21754,24610.31488,26851.96802,47851.9307,89187.01173,127082.515,154355.0135,172241.9987,181992.135,189620.255,99979.35309,147829.666,138989.3465,240876.3654,181976.3632,164138.6157,448453.403,359628.2897,541847.6746,368111.7748,69531.37443,43937.42503,27031.98851,21724.58815,11777.45767,59438.85073,251616.9565,378509.1659,253222.2362,Somalia,EMR
104390,69130,64835,101165,126625,70740,43195,33145,80745,24890,4955,10540,83885,4000,2620,2290,23460,4610,1440,190,175,315,75,55,10,10,1005,10,5,100,1850,0,5,185,Serbia,EUR
7083.331736,994.1717734,8420.056942,5277.415065,2236.597645,2237.522272,577.6460482,4365.442818,3277.438406,847.1039624,372.9004796,341.2610178,3023.013663,12544.23333,1439.932182,576.1398186,393.3239444,1007.067943,1546.606783,21.9593662,112.3039038,154.8955623,176.389395,177.9371445,190.784824,209.8022169,218.2884128,1.676503858,58.9848446,111.0331137,152.1121956,635.925306,227.9052003,272.7452015,Sao Tome and Principe,AFR
3580,3235,85,200,550,185,25,340,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Suriname,AMR
NA,NA,NA,NA,NA,NA,NA,NA,NA,235,1055,2075,2755,145,10,0,3100,2650,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,Slovakia,EUR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,50,35,670,1990,40,45,65,5,NA,0,0,0,0,0,0,0,0,0,10,110,10,5,260,Slovenia,EUR
17700,31115,23130,5015,1630,865,NA,190,310,145,125,285,125,105,115,220,310,NA,NA,295,25,45,15,25,65,95,5,125,15,30,130,150,255,130,Sweden,EUR
NA,42463.6805,14842.69145,21535.83567,14865.42298,10439.49685,19165.3786,7752.262594,6983.049886,6962.277282,7112.808281,9250.219343,11624.16832,4089.720853,2201,12331.03414,3502.393656,1454.433964,29.16037892,49,81.71049638,350,1307.281578,499.1878589,295.2852824,216.6581541,117.3749051,127.5563742,313,781.6467609,351.5217972,361.672018,365.522389,138.3204433,Swaziland,AFR
20,1735,1335,95,50,20,10,0,25,65,30,0,0,0,0,10,15,3130,10,NA,0,0,0,0,0,50,5,0,0,0,0,0,0,0,Seychelles,AFR
3249.086329,6381.704637,10873.06686,17200.19503,22010.44247,21693.97884,25680.54658,27603.12584,28367.10931,28406.86279,28072.07553,27802.57936,33090.48217,34623.49934,36219.45192,40886.39275,59313.85431,53002.25885,180.8728276,204.6728254,290,538,801,301.6137613,375,517,403,83.17082566,91.32500953,101.9417176,111.2436034,269667.2266,207938.7869,242703.5993,Syria,EMR
NA,5160,6921,11422.59458,23988.43547,34314.32229,45076.93215,54747.8083,79984.91007,100278.4116,214305.5407,285080.9567,336830.1124,270177.9578,324757.257,378969.607,300717.4671,276379.4572,216600.1199,165884.2067,240825.542,197425.3091,212129.2693,197789.1899,139370.0095,38836.75964,6748.736998,10586.25917,988.9693714,8650,265.1140967,18569.49106,2452.005656,10302.11519,Chad,AFR
167517.6085,158884.6101,140291.4458,191728.25,188663.3323,97198.20526,73278.25457,134091.1864,37558.26402,33938.99558,74440.72255,52508.19856,33773.98954,52656.43106,46544.88006,16982.2455,11854.2132,27762.98702,22881.3049,27616.65634,21306.61531,363,3127.267011,4016.810903,873.8217308,2229.032508,3504.35845,5464.973223,3096.831512,4636.430651,2097.940568,5851.033944,10366.22305,2903.362784,Togo,AFR
791793.2139,906475.7208,1131160.958,1557170.438,1056739.807,661432.3816,1497031.129,1177526.718,532822.6209,1020681.495,870758.4764,332314.8996,600410.1317,1439501.101,445091.1763,221142.625,531146.9335,447516.3283,151433.3171,133114.6012,243650.5403,211167.7622,152508.5863,128510.1377,115414.0271,115844.9455,124919.2342,251239.3343,199569.4362,101357.7025,99390.04004,NA,NA,NA,Thailand,SEAR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58345.31007,60263.21199,71358.69215,60823.54641,52353.60034,44307.14665,53423.35256,58303.27521,46741.66669,38354.7292,32532.64319,30589.46476,32823.90826,27828.07382,122.0614395,210.7440633,313.8892608,459.4377597,612.9185073,3.196723194,15.5421157,163060.691,92836.61731,27526.08347,Tajikistan,EUR
NA,NA,NA,NA,NA,NA,NA,NA,NA,14030,6730,3460,12430,13065,1965,480,1885,5175,2260,565,45,55,5,5,0,240,295,0,0,0,0,0,0,0,Turkmenistan,EUR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,470,205,1015,450,0,0,50,250,3815,80,20,235,Timor-Leste,SEAR
935,95,180,25,2060,1165,0,0,125,325,90,50,0,NA,0,0,5405,180,30,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Tonga,WPR
18005,6420,11960,17780,17745,13300,2205,1940,10850,2555,705,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trinidad and Tobago,AMR
15035,9140,7320,12405,23830,18700,2865,1440,5735,2735,6250,59360,7065,2985,3380,2665,1855,615,505,235,1155,490,110,5,75,15,20,10,5,5,55,240,80,75,Tunisia,EMR
519350.5483,389461.0683,512584.1406,670090.1364,512044.1136,323236.8442,252809.0105,261485.2084,391496.6768,349226.0507,467643.2066,536003.8831,703328.0813,610887.9693,479946.0891,580964.3295,516498.0055,540234.9786,416095.6483,364551.6689,491337.5873,313898.8474,228718.5427,8927,9384.388113,2264.270752,2678.872278,3072.049546,3524.994387,3951.83384,4469.287426,5715.692348,13493.3845,14724.14908,Turkey,EUR
37.7638283,67.89517842,73.40019478,75.92971441,70.56303489,76.94941637,284,83.76097277,82.8434208,75.28840192,81.38549024,85.61398695,88.93215714,86.05926619,78.22015498,73.17595603,66.4747023,61.69018134,0.213630222,1.091634291,1.167362275,1.273517769,1.346366604,1.410562648,1.634830898,0.015090321,0.028374093,0.050721138,0.093008376,0.152615923,0.189191272,0.334970336,0.400357212,0.472330411,Tuvalu,WPR
1063188.064,1116145.975,731301.581,432805.0336,489166.8844,405729.4683,447374.8381,193845.3652,109101.2409,159520.3644,288286.6601,168101.7857,182388.7283,87852.37428,65468.74041,116538.7661,104283.7509,123212.7303,98735.24288,158938.7876,127328.6096,67106.08684,44282.29736,38149.98552,30408.85311,15295.66987,71482.42669,48162.08591,31236.96334,20166.44308,20778.93632,20871.18982,27772.74002,27854.24778,Tanzania,AFR
38169.67068,105212.423,227115.9667,264566.5204,282485.5756,294682.5475,300848.446,111444.4675,74062.74895,66990.29769,81313.23792,451966.9468,436716.0554,662917.8251,591118.1153,420385.0989,266065.5269,491342.8501,541809.587,567198.2657,414112.1965,619598.6555,460548.1934,1644.24559,5585.058983,18123.85449,32612.92534,36518.86291,39587.62701,9168.343773,18940.28115,20327.5913,7878,9573.147868,Uganda,AFR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44776.73945,47339.37443,61528.07449,63328.89229,61987.99488,65446.05739,68159.6654,69621.83041,67147.24344,64168.0847,80755.71645,86054.83565,79786.31217,73876.35824,71943.04744,131246.2241,123316.4688,114534.4761,107578.1096,101183.8925,98659.27814,154190.6489,142686.3347,132652.7609,Ukraine,EUR
77325,675,90,1760,800,990,5950,380,100,550,10200,935,80,0,25,10,10,30,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uruguay,AMR
15620,8570,7485,12935,14110,31410,18275,16980,90965,138930,48215,11155,1560,4790,1545,2445,690,500,500,425,580,205,280,185,330,275,215,700,355,315,1110,275,0,0,United States,AMR
